البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	٧٥ وسمًا: استنباط تربوي ٣٧، يحتاج إلى تحقق ٢٨، تحليل حديث ٨، أخرى ١، أداة تدريبية من إنشاء الكتاب ١
العلمية	مصادر في المجلد السادس: الأدب تنتظر التحقيق (لم تدخل الثبت)	للمراجعة	ابن المقفع، الأدب الكبير؛ الجاحظ، البيان والتبيين، تحقيق عبد السلام هارون، ج١؛ الذهبي، سير أعلام النبلاء؛ الغزالي، إحياء علوم الدين، كتاب آفات اللسان؛ النووي، شرح صحيح مسلم، كتاب الزهد؛ صحيح البخاري، كتاب العلم؛ صحيح مسلم، كتاب المساجد؛ ينقل ابن حجر في «فتح الباري»، كتاب الأدب، باب المداراة مع الناس، كلامًا للعلماء في هذا الفرق
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٣٦ موضعًا، ٣٦ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف01-السلام-والبشاشة-والاستماع.md:٩٤، ف01-السلام-والبشاشة-والاستماع.md:٤٤٧، ف02-على-قدر-العقول.md:٩١، ف03-المدح-والشكر-والدعاء.md:٩٥، ف06-أ-المدخل-والدرس-الأول.md:٣٦١، ف09-ب-الدرس-الثاني.md:٨٩
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	للمراجعة	ف02-على-قدر-العقول.md ×٢؛ ف09-ج-التطبيق-والتقويم.md ×٢
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب السادس، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل السابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل الثامن: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السادس، الفصل التاسع: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ٢٠٠×٢٦٠ مم	يجتاز	{(200, 260)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٤ صفحة: د، ح، ي، ع
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	يجتاز	
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٤٢٥
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٦ صفحة (أ–ع)، والمتن ٤٠٩ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١١ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	١٤ إشارة؛ في المستوى الأول: المقدّمات، الباب السادس: الأدب
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد السادس: الأدب؛ أحمد بن إبراهيم السليمي؛ المجلد السادس: الأدب
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	٠ حاشية
التقنية	إحالات الباب السادس إلى فصوله (١–٩)	يجتاز	
العلمية	الثبت (الدليل ٣٤ §٤)	للعلم	لا حواشي في هذا المجلد، فلا ثبت له؛ ولا يدخل ثبتًا كتابٌ لم يُحَل إليه
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، Changa ٧.٨ (×١٢٠٠)، IBMPlexSansArabic ٧.٨ (×٥٦١)، IBMPlexSansArabic ٨.٠ (×١٠٣)، SourceSerif4 ٨.١ (×١)، SourceSerif4 ٨.٢ (×١)، IBMPlexSansArabic ٨.٢ (×١٧)، Amiri ٨.٢ (×١٠٥)، Changa ٨.٣ (×١٠٣٣)، IBMPlexSansArabic ٨.٤ (×١٥)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
١٠٤	آخر صفحةٍ في قسمها شبه فارغة (١١٪)
١٤٩	آخر صفحةٍ في قسمها شبه فارغة (١٤٪)

الملف	السطر	نوع الوسم	نصّه
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	74	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	80	يحتاج إلى تحقق	يحتاج إلى تحقق من الصفحة
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	82	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	84	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث والحكم
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	86	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	94	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	96	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	182	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	320	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	414	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	430	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	434	يحتاج إلى تحقق	ابن المقفع، الأدب الكبير؛ يحتاج إلى تحقق من الصفحة واللفظ
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	443	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	447	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	449	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	578	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	67	يحتاج إلى تحقق	صحيح البخاري، كتاب العلم؛ يحتاج إلى تحقق من رقم الأثر
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	69	يحتاج إلى تحقق	مقدمة صحيح مسلم؛ يحتاج إلى تحقق من الموضع
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	75	يحتاج إلى تحقق	صحيح مسلم، كتاب المساجد؛ يحتاج إلى تحقق من رقم الحديث
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	77	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	83	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
